Keyword,Search Volume (Avg),Competition (Ads 0-100),Est SEO KD (0-100),Intent,Topic Cluster,Target Page,Priority,Quick Win (KD<35)
adhd and entrepreneurs,1000,4,28,Informational/Commercial,Core ADHD+Founder,Homepage,High,Yes
adhd entrepreneurship,1000,4,28,Informational,Core ADHD+Founder,Homepage,High,Yes
entrepreneurial adhd,1000,4,28,Informational,Core ADHD+Founder,Homepage,High,Yes
adhd in entrepreneurs,10,6,26,Informational,Core ADHD+Founder,Homepage,Med,Yes
entrepreneurship for adhd,40,1,26,Informational,Core ADHD+Founder,Homepage,Med,Yes
adhd for entrepreneurs,n/a,n/a,28,Informational/Commercial,Core ADHD+Founder,Homepage,High,Yes
adhd coach for entrepreneurs,40,33,32,Commercial/Transactional,Coaching (money page),Homepage/Offer,High,Yes
adhd entrepreneur coach,40,38,33,Commercial/Transactional,Coaching (money page),Homepage/Offer,High,Yes
business coach for adhd entrepreneurs,n/a,n/a,22,Commercial/Transactional,Coaching (money page),Homepage/Offer,High,Yes
productivity coach for entrepreneurs with adhd,n/a,n/a,20,Commercial,Coaching (money page),Homepage/Offer,Med,Yes
executive function coaching for adults entrepreneurs with adhd,n/a,n/a,20,Commercial,Coaching (money page),Service/Offer page,Med,Yes
adhd money coach for entrepreneurs,n/a,n/a,20,Commercial,Coaching (money page),Offer page,Low,Yes
famous entrepreneurs with adhd,170,0,30,Informational,Famous/Inspiration,Blog post,High,Yes
famous adhd entrepreneurs,170,0,30,Informational,Famous/Inspiration,Blog post,Med,Yes
adhd successful entrepreneurs,n/a,n/a,30,Informational,Famous/Inspiration,Blog post,Low,Yes
what percentage of entrepreneurs have adhd,40,0,22,Informational,Stats/Prevalence,Blog post,Med,Yes
how many entrepreneurs have adhd,30,0,22,Informational,Stats/Prevalence,Blog post,Med,Yes
do entrepreneurs have adhd,30,0,22,Informational,Stats/Prevalence,Blog post,Med,Yes
do most entrepreneurs have adhd,20,0,22,Informational,Stats/Prevalence,Blog post,Low,Yes
percentage of ceos with adhd,50,0,24,Informational,Stats/Prevalence,Blog post,Med,Yes
adhd entrepreneur statistics,20,14,24,Informational,Stats/Prevalence,Blog post,Med,Yes
is adhd good for entrepreneurs,n/a,n/a,20,Informational,ADHD-as-Advantage,Blog post,Med,Yes
is adhd good for business,n/a,n/a,20,Informational,ADHD-as-Advantage,Blog post,Low,Yes
is entrepreneurship good for adhd,n/a,n/a,20,Informational,ADHD-as-Advantage,Blog post,Low,Yes
can adhd be entrepreneur,n/a,n/a,18,Informational,ADHD-as-Advantage,FAQ,Low,Yes
adhd entrepreneur superpower,10,0,22,Informational,ADHD-as-Advantage,Blog post,Med,Yes
how to be successful with adhd,90,44,40,Informational,Systems/Productivity,Blog post,Med,No
adhd business ideas,40,9,25,Informational/Commercial,Systems/Productivity,Blog post,Med,Yes
adhd entrepreneur tips,10,12,28,Informational,Systems/Productivity,Blog/FAQ,Med,Yes
adhd tools for entrepreneurs,n/a,n/a,22,Commercial,Systems/Productivity,Blog post,Low,Yes
best apps for adhd entrepreneurs,n/a,n/a,24,Commercial,Systems/Productivity,Blog post,Low,Yes
adhd female entrepreneurs,10,3,26,Informational,Niche/Audience,Blog post,Low,Yes
adhd entrepreneur book,30,100,45,Commercial,Books/Resources,Blog/Resource,Low,No
best books for adhd entrepreneurs,10,100,45,Commercial,Books/Resources,Blog/Resource,Low,No
